Id,Label,Type
Collected gene‑editing patent data from the Derwent Innovations Index.,Collected gene‑editing patent data from the Derwent Innovations Index.,Methodology
Used text‑mining software to generate a network graph of topic words and applied IDF to build a weighted adjacency matrix.,Used text‑mining software to generate a network graph of topic words and applied IDF to build a weighted adjacency matrix.,Methodology
"Performed social network analysis to compute degree centrality of technical topic words and identified core, highlighted, and emerging themes.","Performed social network analysis to compute degree centrality of technical topic words and identified core, highlighted, and emerging themes.",Methodology
"Collected 36,731 cooperative patent records between enterprises from 1985 to 2010 (State Intellectual Property Office of China).","Collected 36,731 cooperative patent records between enterprises from 1985 to 2010 (State Intellectual Property Office of China).",Methodology
Performed network analysis to examine structural evolution and small‑world properties of the largest subgroup.,Performed network analysis to examine structural evolution and small‑world properties of the largest subgroup.,Methodology
Collected joint‑filing patent data on waste‑heat technologies (2006–2015).,Collected joint‑filing patent data on waste‑heat technologies (2006–2015).,Methodology
"Applied global network property analysis, actor centrality measures, and collaboration relationship assessment.","Applied global network property analysis, actor centrality measures, and collaboration relationship assessment.",Methodology
Retrospective search and inclusion of 78 published RCTs on the four patent medicines plus ACEI/ARB.,Retrospective search and inclusion of 78 published RCTs on the four patent medicines plus ACEI/ARB.,Methodology
"Network meta‑analysis performed using R, Generate Mixed Treatment Comparisons, and STATA software.","Network meta‑analysis performed using R, Generate Mixed Treatment Comparisons, and STATA software.",Methodology
Define required technology using a structured technology roadmap.,Define required technology using a structured technology roadmap.,Methodology
Generate a list of suitable SME candidates from patent information.,Generate a list of suitable SME candidates from patent information.,Methodology
"Develop a Bayesian network model, leveraging a bibliography of U.S. patents, to evaluate fit with industry and the large firm.","Develop a Bayesian network model, leveraging a bibliography of U.S. patents, to evaluate fit with industry and the large firm.",Methodology
Collected panel data (2015‑2019) from 103 sample firms.,Collected panel data (2015‑2019) from 103 sample firms.,Methodology
Measured technical innovation performance using Data Envelopment Analysis (DEA).,Measured technical innovation performance using Data Envelopment Analysis (DEA).,Methodology
Constructed joint‑patent networks and analyzed them with Social Network Analysis (SNA) to identify knowledge‑creating alliance relationships.,Constructed joint‑patent networks and analyzed them with Social Network Analysis (SNA) to identify knowledge‑creating alliance relationships.,Methodology
Collect and clean 5G‑related patent data from the USPTO.,Collect and clean 5G‑related patent data from the USPTO.,Methodology
"Perform patent overview analysis to assess application trends, technical hot spots, and leading players.","Perform patent overview analysis to assess application trends, technical hot spots, and leading players.",Methodology
Create an assignee‑level citation network and analyze its topology.,Create an assignee‑level citation network and analyze its topology.,Methodology
Apply O‑I index analysis to examine knowledge flow between organizations.,Apply O‑I index analysis to examine knowledge flow between organizations.,Methodology
Collect patent records via the OPS web service and transform them for analysis.,Collect patent records via the OPS web service and transform them for analysis.,Methodology
Use graph‑theoretic methods to construct bibliometric coupling networks.,Use graph‑theoretic methods to construct bibliometric coupling networks.,Methodology
Visualize the networks and embed them within an economic‑intelligence workflow.,Visualize the networks and embed them within an economic‑intelligence workflow.,Methodology
Collected all patent records from the Derwent Innovation Index (1991‑2010) and extracted Derwent Manual Codes (DMC).,Collected all patent records from the Derwent Innovation Index (1991‑2010) and extracted Derwent Manual Codes (DMC).,Methodology
Constructed large‑scale co‑classification matrices and generated DMC co‑classification networks for four five‑year windows.,Constructed large‑scale co‑classification matrices and generated DMC co‑classification networks for four five‑year windows.,Methodology
Applied the Girvan‑Newman clustering algorithm to detect structural transformations across periods.,Applied the Girvan‑Newman clustering algorithm to detect structural transformations across periods.,Methodology
Construct an encoder‑decoder architecture with two recurrent neural networks for sequence‑to‑sequence mapping.,Construct an encoder‑decoder architecture with two recurrent neural networks for sequence‑to‑sequence mapping.,Methodology
"Train the model on 50,000 experimental reactions extracted from United States patent literature covering 10 broad reaction types.","Train the model on 50,000 experimental reactions extracted from United States patent literature covering 10 broad reaction types.",Methodology
Treat retrosynthetic prediction as a direct mapping from product to precursor sequences.,Treat retrosynthetic prediction as a direct mapping from product to precursor sequences.,Methodology
"Analyzed patent examination processes, infringement search types, and related theories","Analyzed patent examination processes, infringement search types, and related theories",Methodology
Applied text‑mining approaches to measure patent similarity,Applied text‑mining approaches to measure patent similarity,Methodology
Developed a model for rapid patent retrieval,Developed a model for rapid patent retrieval,Methodology
Applied a reinforcement‑learning based ranking algorithm (found superior to PageRank) to rank patents.,Applied a reinforcement‑learning based ranking algorithm (found superior to PageRank) to rank patents.,Methodology
Combined regression analysis and clustering techniques to study class evolution and interactions.,Combined regression analysis and clustering techniques to study class evolution and interactions.,Methodology
Patent network analysis using citation links to trace knowledge flow among technological fields.,Patent network analysis using citation links to trace knowledge flow among technological fields.,Methodology
"Co‑classification analysis to quantify convergence intensity, rate, and coverage.","Co‑classification analysis to quantify convergence intensity, rate, and coverage.",Methodology
Construction of portfolio matrices based on coverage intensity and convergence rate.,Construction of portfolio matrices based on coverage intensity and convergence rate.,Methodology
"Systematic search of 10 databases up to 13 Mar 2022, selecting 179 RCTs (16,789 patients).","Systematic search of 10 databases up to 13 Mar 2022, selecting 179 RCTs (16,789 patients).",Methodology
"Risk of bias assessed with ROB2; network meta‑analysis performed using R 4.1.2 and STATA 14.0, with sensitivity and subgroup analyses.","Risk of bias assessed with ROB2; network meta‑analysis performed using R 4.1.2 and STATA 14.0, with sensitivity and subgroup analyses.",Methodology
"Apply keyword pattern matching, grammar‑based text mining, and co‑word analysis to extract context–problem entities from patents.","Apply keyword pattern matching, grammar‑based text mining, and co‑word analysis to extract context–problem entities from patents.",Methodology
"Construct a Context‑Problem network (CP net) for social‑network, grammar, and quantitative data analysis.","Construct a Context‑Problem network (CP net) for social‑network, grammar, and quantitative data analysis.",Methodology
Validate the approach on 737 patents in the wireless energy transmission (wireless charging) domain.,Validate the approach on 737 patents in the wireless energy transmission (wireless charging) domain.,Methodology
Estimate the relationship between patent centrality and public company market value controlling for citation counts.,Estimate the relationship between patent centrality and public company market value controlling for citation counts.,Methodology
"Compare centrality scores of patents inside standard‑related pools (e.g., MPEG‑2) versus outside patents.","Compare centrality scores of patents inside standard‑related pools (e.g., MPEG‑2) versus outside patents.",Methodology
Apply community detection algorithms to the patent citation network and evaluate the resulting groups against administrative classifications.,Apply community detection algorithms to the patent citation network and evaluate the resulting groups against administrative classifications.,Methodology
"Searched PubMed, Cochrane Library, CNKI, Wanfang, VIP and other databases up to June 2020 for randomized controlled trials.","Searched PubMed, Cochrane Library, CNKI, Wanfang, VIP and other databases up to June 2020 for randomized controlled trials.",Methodology
"Two investigators independently screened studies, extracted data, and assessed quality with the Cochrane risk of bias tool.","Two investigators independently screened studies, extracted data, and assessed quality with the Cochrane risk of bias tool.",Methodology
"Performed network meta-analysis with Stata 13.0 on 28 eligible RCTs (2,885 participants) involving eight Chinese patent medicines.","Performed network meta-analysis with Stata 13.0 on 28 eligible RCTs (2,885 participants) involving eight Chinese patent medicines.",Methodology
Systematic review and network meta‑analysis of randomized controlled trials from multiple databases up to February 2022.,Systematic review and network meta‑analysis of randomized controlled trials from multiple databases up to February 2022.,Methodology
"Calculated risk ratios (RR) and mean differences (MD) for outcomes, ranked interventions using the SUCRA method, and performed a cost‑effectiveness analysis.","Calculated risk ratios (RR) and mean differences (MD) for outcomes, ranked interventions using the SUCRA method, and performed a cost‑effectiveness analysis.",Methodology
"Construct a patent citation network using social network analysis, with patents as nodes and citations as edges.","Construct a patent citation network using social network analysis, with patents as nodes and citations as edges.",Methodology
"Analyze static patent attributes together with network metrics (e.g., centrality, connectivity) reflecting dynamic relationships.","Analyze static patent attributes together with network metrics (e.g., centrality, connectivity) reflecting dynamic relationships.",Methodology
Assess patent importance based on its position and role within the citation network.,Assess patent importance based on its position and role within the citation network.,Methodology
Performed a network meta‑analysis of randomized controlled trials comparing Chinese patent medicines + conventional treatment versus conventional treatment alone.,Performed a network meta‑analysis of randomized controlled trials comparing Chinese patent medicines + conventional treatment versus conventional treatment alone.,Methodology
Searched Chinese and English databases; assessed risk of bias using Cochrane handbook 5.3; extracted outcome data and analyzed with Stata 15.0.,Searched Chinese and English databases; assessed risk of bias using Cochrane handbook 5.3; extracted outcome data and analyzed with Stata 15.0.,Methodology
"Included 44 RCTs (4,345 patients) covering 9 Chinese patent medicines.","Included 44 RCTs (4,345 patients) covering 9 Chinese patent medicines.",Methodology
Data extracted from the Polish Patent Office database.,Data extracted from the Polish Patent Office database.,Methodology
Social Network Analysis (SNA) employed for graphing and quantitative calculations.,Social Network Analysis (SNA) employed for graphing and quantitative calculations.,Methodology
Analysis conducted focusing on inter‑organizational and inter‑regional connections.,Analysis conducted focusing on inter‑organizational and inter‑regional connections.,Methodology
"Systematic search of CNKI, Wanfang, VIP, SinoMed, PubMed, EMBASE and Cochrane Library for randomized controlled trials up to October 2020.","Systematic search of CNKI, Wanfang, VIP, SinoMed, PubMed, EMBASE and Cochrane Library for randomized controlled trials up to October 2020.",Methodology
Risk of bias assessed with Cochrane criteria; data analyzed with RevMan 5.3 and Stata/MP 15.1 employing network meta‑analysis.,Risk of bias assessed with Cochrane criteria; data analyzed with RevMan 5.3 and Stata/MP 15.1 employing network meta‑analysis.,Methodology
